EPISODE, MAX_X, MAX_SCORE
0, 0.5368577983788596, -103.0
1, 0.505871400933355, -108.0
2, 0.5027795386541791, -105.0
3, 0.5368577983788596, -101.0
4, 0.5280913199176022, -105.0
5, 0.5403234917545329, -102.0
6, 0.509703903292469, -112.0
7, 0.53382834164182, -126.0
8, 0.5368577983788596, -122.0
9, 0.5336045312345434, -102.0
10, 0.5118418644400538, -106.0
11, 0.5295027717097326, -104.0
12, 0.5437170638529968, -126.0
13, 0.5209105155106686, -104.0
14, 0.5187512225136629, -102.0
15, 0.5189678707257186, -104.0
16, 0.5317995192399698, -132.0
17, 0.5174885025617268, -111.0
18, 0.5186204308839042, -103.0
19, 0.5044406827431933, -125.0
